name,year,expenses,degree,enrollment,level,control
Dine College,2008,3340,0,311,Four or more years,Public
Dine College,2010,22613,1857,24663,Four or more years,Public
Dine College,2011,13304,320,10692,Four or more years,Public
Dine College,2012,12420,261,9776,Four or more years,Public
Dine College,2013,11777,211,8448,Four or more years,Public
Dine College,2009,3615,0,392,Four or more years,Public
Dine College,2006,3132,0,268,Four or more years,Public
Dine College,2007,3118,0,264,Four or more years,Public
Midwestern University-Glendale,2012,48819,31776,380232,Four or more years,Private for-profit
Eastern Virginia Medical School,2011,46387,21638,307965,Four or more years,Public
Eastern Virginia Medical School,2013,45854,13210,307871,Four or more years,Public
Thunderbird School of Global Management,2013,45015,12194,301323,Four or more years,Private not-for-profit
Thunderbird School of Global Management,2012,42971,9278,224880,Four or more years,Private not-for-profit
Thunderbird School of Global Management,2011,42629,6657,212044,Less than 2 years (below associate),Private for-profit
Union Presbyterian Seminary,2013,42305,6494,165373,Four or more years,Private not-for-profit
DeVry University's Keller Graduate School of Management-Arizona,2012,41573,6351,64635,Four or more years,Private for-profit
Institute for the Psychological Sciences,2011,39427,6195,64595,Four or more years,Private not-for-profit
Union Presbyterian Seminary,2011,38989,5874,61907,Four or more years,Private not-for-profit
Midwestern University-Glendale,2013,37800,5825,59850,Four or more years,Private not-for-profit
Institute for the Psychological Sciences,2013,37532,5705,57636,Four or more years,Private not-for-profit
Cottey College,2011,37150,5692,52244,Four or more years,Private not-for-profit
Edward Via College of Osteopathic Medicine,2011,35737,5604,49929,Four or more years,Private not-for-profit
Eden Theological Seminary,2013,35378,5528,44899,Four or more years,Private not-for-profit
Covenant Theological Seminary,2012,34767,5371,44504,Four or more years,Private not-for-profit
Saint Paul School of Theology,2011,34684,5087,42792,Four or more years,Private not-for-profit
A T Still University of Health Sciences,2012,34417,4920,42605,Four or more years,Private not-for-profit
Eden Theological Seminary,2011,34278,4718,40422,Four or more years,Private not-for-profit
Edward Via College of Osteopathic Medicine,2013,33318,4659,37418,Four or more years,Private not-for-profit
Cottey College,2012,33101,4625,36848,Four or more years,Private not-for-profit
Concordia Seminary,2011,33004,4569,35974,Four or more years,Private not-for-profit
Appalachian College of Pharmacy,2013,32972,4427,35522,Four or more years,Private not-for-profit
Southwest College of Naturopathic Medicine & Health Sciences,2011,32963,4335,35289,Four or more years,Private not-for-profit
Concordia Seminary,2013,31899,4330,34274,Four or more years,Private not-for-profit
Aquinas Institute of Theology,2013,31817,4255,33447,Four or more years,Private not-for-profit
A T Still University of Health Sciences,2013,31675,4207,33289,Four or more years,Private not-for-profit
Aquinas Institute of Theology,2011,31244,4096,32946,Four or more years,Private not-for-profit
Phoenix Seminary,2011,30746,4047,31970,Four or more years,Private not-for-profit
St Louis College of Pharmacy,2013,30454,3938,31942,Four or more years,Private not-for-profit
Southwest College of Naturopathic Medicine & Health Sciences,2013,29982,3877,31064,Four or more years,Private not-for-profit
A T Still University of Health Sciences,2011,29652,3782,30478,Four or more years,Private not-for-profit
Assemblies of God Theological Seminary,2012,29577,3738,30172,Four or more years,Private not-for-profit
Appalachian College of Pharmacy,2011,29563,3726,29784,Four or more years,Private not-for-profit
Phoenix Seminary,2013,29500,3715,29452,Four or more years,Private not-for-profit
Kansas City University of Medicine and Biosciences,2013,29042,3637,29348,Four or more years,Private not-for-profit
Appalachian School of Law,2013,29005,3297,29305,Four or more years,Private not-for-profit
Baptist Theological Seminary at Richmond,2013,28860,3190,29179,Four or more years,Private not-for-profit
Kansas City University of Medicine and Biosciences,2011,28758,3179,29045,Four or more years,Private not-for-profit
St Louis College of Pharmacy,2011,27567,3172,28985,Four or more years,Private not-for-profit
Truman Medical Center School of Nurse Anesthesia,2012,27212,3073,28791,Four or more years,Public
Sentara College of Health Sciences,2011,27101,3007,28717,Four or more years,Private not-for-profit
Bon Secours Memorial College of Nursing,2011,26555,2995,28307,Four or more years,Private not-for-profit
Baptist Theological Seminary at Richmond,2011,26477,2974,28022,Four or more years,Private not-for-profit
Arizona School of Acupuncture and Oriental Medicine,2013,25983,2859,27445,Four or more years,Private for-profit
Nazarene Theological Seminary,2013,25804,2719,27444,Four or more years,Private not-for-profit
Kansas City Art Institute,2010,25568,2716,27420,Four or more years,Private not-for-profit
Appalachian School of Law,2011,25497,2707,27235,Four or more years,Private not-for-profit
Urshan Graduate School of Theology,2011,25319,2587,27186,Four or more years,Private not-for-profit
Forest Institute of Professional Psychology,2012,25209,2542,27183,Four or more years,Private not-for-profit
Nazarene Theological Seminary,2011,25185,2408,27177,Four or more years,Private not-for-profit
College America-Phoenix,2012,25109,2347,26710,Four or more years,Private for-profit
Appalachian College of Pharmacy,2012,24593,2284,26642,Four or more years,Private for-profit
American Indian College of the Assemblies of God Inc,2009,24237,2262,26455,Four or more years,Private not-for-profit
Urshan Graduate School of Theology,2013,24025,2213,26139,Four or more years,Private not-for-profit
Truman Medical Center School of Nurse Anesthesia,2013,23902,2092,25890,Four or more years,Public
Broadview University-Boise,2013,23607,2078,25714,Four or more years,Private for-profit
Arizona School of Acupuncture and Oriental Medicine,2011,23568,1981,25641,Four or more years,Private for-profit
Urshan Graduate School of Theology,2012,23473,1974,25126,Four or more years,Private not-for-profit
Assemblies of God Theological Seminary,2011,22947,1969,25061,Four or more years,Private not-for-profit
Broadview University-Boise,2012,22794,1963,24848,Four or more years,Private for-profit
Chamberlain College of Nursing-Virginia,2011,22448,1818,24265,Four or more years,Private for-profit
Arizona Summit Law School,2013,22225,1796,23977,Four or more years,Private for-profit
Covenant Theological Seminary,2013,22200,1786,23799,Four or more years,Private not-for-profit
Nazarene Theological Seminary,2012,21621,1761,23276,Four or more years,Private not-for-profit
Broadview University-Boise,2011,21548,1761,22875,Four or more years,Private for-profit
The Art Institute of Washington-Dulles,2011,21418,1759,22494,Four or more years,Private for-profit
Forest Institute of Professional Psychology,2011,21304,1749,22466,Four or more years,Private not-for-profit
CollegeAmerica-Stevens Henager College,2012,21170,1725,22199,Four or more years,Private for-profit
Concordia Seminary,2012,21006,1714,22195,Four or more years,Private not-for-profit
Barnes-Jewish College Goldfarb School of Nursing,2008,20513,1709,22153,Four or more years,Private not-for-profit
Covenant Theological Seminary,2011,20420,1688,22123,Four or more years,Private not-for-profit
Assemblies of God Theological Seminary,2013,20419,1664,22079,Four or more years,Private not-for-profit
Forest Institute of Professional Psychology,2013,20347,1629,21988,Four or more years,Private not-for-profit
University of Phoenix-Jackson Campus,2011,20290,1625,21917,Four or more years,Private for-profit
Conception Seminary College,2007,20107,1623,21889,Four or more years,Private not-for-profit
Eastern Virginia Medical School,2012,20038,1606,21608,Four or more years,Public
South University̢����Richmond,2011,19859,1587,21607,Four or more years,Private for-profit
St Louis College of Pharmacy,2012,19789,1565,21532,Four or more years,Private not-for-profit
Barnes-Jewish College Goldfarb School of Nursing,2009,19770,1539,21521,Four or more years,Private not-for-profit
Saint Paul School of Theology,2012,19760,1523,21503,Four or more years,Private not-for-profit
Everest College-Springfield,2007,19642,1517,21463,Four or more years,Private for-profit
Phoenix Institute of Herbal Medicine & Acupuncture,2012,19604,1497,21443,Four or more years,Private for-profit
ITT Technical Institute-Salem,2013,18892,1470,21335,Four or more years,Private for-profit
The Art Institute of Virginia Beach,2012,18880,1460,20248,At least 2 but less than 4 years,Private for-profit
University of Phoenix-Des Moines Campus,2013,18814,1425,20001,Four or more years,Private for-profit
South University̢����Virginia Beach,2011,18619,1312,19858,Four or more years,Private for-profit
Kansas City University of Medicine and Biosciences,2012,18602,1285,19823,Four or more years,Private not-for-profit
Bon Secours Memorial College of Nursing,2012,18433,1273,19753,Four or more years,Private not-for-profit
ITT Technical Institute-Phoenix West,2012,18422,1189,19700,Less than 2 years (below associate),Private for-profit
Sanford-Brown College-St Peters,2013,18409,1188,19607,Four or more years,Private for-profit
Institute for the Psychological Sciences,2012,18333,1172,19462,Four or more years,Private for-profit
Saint Louis Christian College,2010,18333,1170,19407,Four or more years,Private not-for-profit
ITT Technical Institute-Tucson,2009,18252,1161,19226,Four or more years,Private for-profit
Arizona Summit Law School,2011,18204,1155,18980,Four or more years,Private for-profit
Brown Mackie College-St Louis,2012,18161,1136,18975,Four or more years,Private for-profit
Union Presbyterian Seminary,2012,18002,1127,18858,Four or more years,Private not-for-profit
Everest College-Phoenix,2008,17969,1118,18763,Four or more years,Private for-profit
Everest College-Springfield,2009,17962,1118,18732,Four or more years,Private for-profit
ITT Technical Institute-Phoenix,2011,17937,1077,18471,Four or more years,Private for-profit
DeVry University's Keller Graduate School of Management-Missouri,2012,17920,1067,18388,Four or more years,Private for-profit
Eden Theological Seminary,2012,17905,1057,18327,Four or more years,Private not-for-profit
Barnes-Jewish College Goldfarb School of Nursing,2006,17883,1048,18260,Four or more years,Private not-for-profit
Baptist Theological Seminary at Richmond,2012,17849,1046,18187,Four or more years,Private not-for-profit
ITT Technical Institute-Boise,2009,17832,1026,18041,Four or more years,Private for-profit
CollegeAmerica-Stevens Henager College,2013,17705,1010,18032,Four or more years,Private not-for-profit
DeVry University's Keller Graduate School of Management-Virginia,2012,17598,1000,17999,Four or more years,Private for-profit
Concorde Career Colleges,2013,17524,997,17976,Four or more years,Private for-profit
Southwest College of Naturopathic Medicine & Health Sciences,2012,17483,994,17875,Less than 2 years (below associate),Private for-profit
ITT Technical Institute-Tempe,2009,17470,992,17705,Four or more years,Private for-profit
Stratford University,2009,17401,963,17681,Four or more years,Private for-profit
Truman Medical Center School of Nurse Anesthesia,2011,17399,963,17618,Four or more years,Public
ITT Technical Institute-Arnold,2008,17394,950,17407,Four or more years,Private for-profit
The Art Institute of Virginia Beach,2011,17331,947,17375,Four or more years,Private for-profit
ITT Technical Institute-Phoenix West,2013,17280,929,17307,Four or more years,Private for-profit
Arizona College-Mesa,2013,17261,920,17258,Four or more years,Private for-profit
Phoenix Institute of Herbal Medicine & Acupuncture,2011,17233,874,17230,Four or more years,Private for-profit
ITT Technical Institute-Springfield,2011,17179,873,17230,Four or more years,Private for-profit
Bryan University,2013,17169,872,17104,Four or more years,Private for-profit
The Art Institute of Washington-Dulles,2012,17157,864,17087,Less than 2 years (below associate),Private for-profit
University of Phoenix-McAllen Campus,2013,17114,862,17053,Four or more years,Private for-profit
Stratford University,2008,17083,861,17020,Four or more years,Private for-profit
Phoenix Institute of Herbal Medicine & Acupuncture,2013,17046,860,16971,Four or more years,Private for-profit
Arizona School of Acupuncture and Oriental Medicine,2012,17027,854,16692,At least 2 but less than 4 years,Private for-profit
Aquinas Institute of Theology,2012,17016,849,16661,Four or more years,Private not-for-profit
University of Phoenix-Delaware Campus,2013,17015,838,16556,Four or more years,Private for-profit
The Art Institute of St Louis,2013,16964,836,16386,Four or more years,Private for-profit
Arizona Summit Law School,2012,16934,832,16253,Four or more years,Private for-profit
Southwest University of Visual Arts-Tucson,2008,16865,832,16187,Four or more years,Private for-profit
ITT Technical Institute-Salem,2011,16840,830,16171,Four or more years,Private for-profit
Edward Via College of Osteopathic Medicine,2012,16815,820,16103,Four or more years,Private for-profit
Brown Mackie College-Phoenix,2011,16760,816,16090,Four or more years,Private for-profit
ITT Technical Institute-Springfield,2010,16747,813,16020,Four or more years,Private for-profit
Brown Mackie College-St Louis,2013,16699,800,16002,Four or more years,Private for-profit
University of Phoenix-Knoxville Campus,2013,16680,780,15919,Four or more years,Private for-profit
Brookline College-Tucson,2012,16667,756,15582,Less than 2 years (below associate),Private for-profit
National American University-Independence,2009,16641,755,15502,Four or more years,Private for-profit
ITT Technical Institute-Springfield,2012,16577,728,15256,At least 2 but less than 4 years,Private for-profit
Missouri College,2010,16548,724,15129,Four or more years,Private for-profit
Brown Mackie College-Boise,2011,16507,720,14876,Four or more years,Private for-profit
Virginia University of Lynchburg,2009,16502,712,14793,Four or more years,Private not-for-profit
Brown Mackie College-St Louis,2011,16478,708,14780,Four or more years,Private for-profit
Appalachian School of Law,2012,16475,701,14739,Four or more years,Private for-profit
American Business and Technology University,2012,16314,694,14681,Four or more years,Private for-profit
Phoenix Seminary,2012,16296,678,14596,Four or more years,Private not-for-profit
College America-Phoenix,2011,16277,674,14489,Four or more years,Private for-profit
University of the Potomac-VA Campus,2008,16198,668,14331,Four or more years,Private for-profit
University of Phoenix-Minneapolis St Paul Campus,2009,16195,665,14007,Four or more years,Private for-profit
University of Phoenix-Cincinnati Campus,2008,16179,659,13952,Four or more years,Private for-profit
Bryant & Stratton College-Hampton,2011,16075,658,13881,Four or more years,Private for-profit
Grantham University,2009,16009,645,13783,Four or more years,Private for-profit
University of Phoenix-Cleveland Campus,2006,15994,580,13639,Four or more years,Private for-profit
ITT Technical Institute-Phoenix West,2011,15896,579,13585,Four or more years,Private for-profit
University of Phoenix-Chicago Campus,2007,15847,579,13502,Four or more years,Private for-profit
University of Phoenix-Northern Virginia Campus,2007,15763,575,13438,Four or more years,Private for-profit
DeVry University's Keller Graduate School of Management-Arizona,2011,15730,563,13354,Four or more years,Private for-profit
National American University-Lee's Summit,2011,15720,548,13322,Four or more years,Private for-profit
Centura College-Virginia Beach,2009,15697,547,13303,Four or more years,Private for-profit
DeVry University's Keller Graduate School of Management-Missouri,2011,15674,514,13286,Four or more years,Private for-profit
DeVry University's Keller Graduate School of Management-Virginia,2011,15663,494,13185,Four or more years,Private for-profit
ITT Technical Institute-Salem,2012,15641,481,13002,Four or more years,Private for-profit
National American University-Weldon Spring,2013,15639,480,12965,Four or more years,Private for-profit
American Business and Technology University,2013,15580,480,12880,Four or more years,Private for-profit
Strayer University-Missouri,2013,15571,473,12833,Four or more years,Private for-profit
University of Phoenix-Delaware Campus,2011,15485,465,12827,Four or more years,Private for-profit
University of Phoenix-Knoxville Campus,2011,15460,459,12733,Four or more years,Private for-profit
CollegeAmerica-Stevens Henager College,2011,15433,458,12695,Four or more years,Private for-profit
University of Phoenix-Baton Rouge Campus,2011,15395,458,12687,Four or more years,Private for-profit
University of Phoenix-Lafayette Campus,2011,15389,453,12629,Four or more years,Private for-profit
University of Phoenix-Shreveport-Bossier Campus,2011,15356,452,12567,Four or more years,Private for-profit
Midwestern University-Glendale,2011,15318,448,12533,Four or more years,Private not-for-profit
Everest College-Mesa,2011,15288,444,12460,Four or more years,Private for-profit
Bethel College,2011,15261,444,12370,Four or more years,Private not-for-profit
Bethel College,2012,15241,442,12339,At least 2 but less than 4 years,Private for-profit
University of Phoenix-Pittsburgh Campus,2013,15118,438,12254,Four or more years,Private for-profit
University of Phoenix-Jackson Campus,2013,15081,437,12239,Four or more years,Private for-profit
Western International University,2010,15067,437,12227,Four or more years,Private for-profit
University of Phoenix-Washington DC Campus,2011,15048,437,12200,Four or more years,Private for-profit
Brown Mackie College-Phoenix,2012,14998,437,12160,Less than 2 years (below associate),Private for-profit
Bryant & Stratton College-Hampton,2012,14936,430,12160,Less than 2 years (below associate),Private for-profit
Frank Lloyd Wright School of Architecture,2012,14921,427,12158,Four or more years,Private not-for-profit
Brown Mackie College-Phoenix,2013,14852,423,12117,Four or more years,Private for-profit
University of Phoenix-Harrisburg Campus,2013,14849,421,12084,Four or more years,Private for-profit
University of Phoenix-Madison Campus,2013,14826,420,12044,Four or more years,Private for-profit
Virginia Baptist College,2013,14806,411,12002,Four or more years,Private not-for-profit
Frank Lloyd Wright School of Architecture,2011,14695,408,11954,Four or more years,Private not-for-profit
American Indian College of the Assemblies of God Inc,2012,14682,401,11929,Four or more years,Private not-for-profit
South University̢����Virginia Beach,2012,14642,398,11901,At least 2 but less than 4 years,Private for-profit
Everest College-Mesa,2012,14634,396,11844,Less than 2 years (below associate),Private for-profit
Bryant & Stratton College-Hampton,2013,14603,393,11816,Four or more years,Private for-profit
University of Phoenix-Fairfield County Campus,2013,14451,393,11806,Four or more years,Private for-profit
University of Phoenix-Harrisburg Campus,2011,14434,382,11774,Four or more years,Private for-profit
National American University-Zona Rosa,2013,14281,380,11746,Four or more years,Private for-profit
University of Phoenix-Omaha Campus,2013,14273,379,11658,Four or more years,Private for-profit
University of Phoenix-Cincinnati Campus,2013,14220,378,11595,Four or more years,Private for-profit
University of Phoenix-Washington DC Campus,2013,14212,377,11535,Four or more years,Private for-profit
University of Phoenix-West Michigan Campus,2007,14206,376,11500,Four or more years,Private for-profit
University of Phoenix-St Louis Campus,2006,14080,374,11441,Four or more years,Private for-profit
Brown Mackie College-Boise,2012,14073,373,11382,At least 2 but less than 4 years,Private for-profit
Everest College-Mesa,2013,14035,373,11300,Four or more years,Private for-profit
Everest College-Springfield,2012,14002,372,11290,Four or more years,Private for-profit
ITT Technical Institute-Springfield,2013,13974,370,11234,Four or more years,Private for-profit
ITT Technical Institute-Phoenix,2012,13972,363,11215,Less than 2 years (below associate),Private for-profit
Sanford-Brown College-St Peters,2011,13959,359,11213,Four or more years,Private for-profit
Grantham University,2010,13901,358,11009,Four or more years,Private for-profit
National American University-Lee's Summit,2012,13809,355,10996,Four or more years,Private for-profit
University of Phoenix-Austin Campus,2010,13808,349,10972,Four or more years,Private for-profit
City Vision College,2013,13793,349,10968,Four or more years,Private not-for-profit
University of Phoenix-Wichita Campus,2008,13689,347,10905,Four or more years,Private for-profit
University of Phoenix-Cleveland Campus,2008,13539,344,10894,Four or more years,Private for-profit
University of Phoenix-Online Campus,2009,13532,332,10882,Four or more years,Private for-profit
University of Phoenix-Central Valley Campus,2007,13510,331,10871,Four or more years,Private for-profit
University of Phoenix-Southern Colorado Campus,2007,13502,326,10860,Four or more years,Private for-profit
University of Phoenix-St Louis Campus,2007,13500,324,10856,Four or more years,Private for-profit
University of Phoenix-Online Campus,2007,13472,324,10751,Four or more years,Private for-profit
National American University-Lee's Summit,2013,13410,323,10739,Four or more years,Private for-profit
Frank Lloyd Wright School of Architecture,2013,13377,322,10715,Four or more years,Private not-for-profit
Brookline College-Tucson,2013,13323,322,10701,Four or more years,Private for-profit
ITT Technical Institute-Tempe,2010,13279,318,10677,Four or more years,Private for-profit
College America-Flagstaff,2011,13272,317,10672,Four or more years,Private for-profit
University of Phoenix-Pittsburgh Campus,2009,13265,312,10630,Four or more years,Private for-profit
University of Phoenix-Wichita Campus,2009,13238,309,10623,Four or more years,Private for-profit
Bethel College,2013,13156,308,10612,Four or more years,Private not-for-profit
University of Phoenix-Philadelphia Campus,2010,13154,305,10608,Four or more years,Private for-profit
University of Phoenix-Northern Virginia Campus,2009,13151,303,10564,Four or more years,Private for-profit
University of Phoenix-Online Campus,2010,13102,303,10513,Four or more years,Private for-profit
University of Phoenix-Online Campus,2006,13055,302,10504,Four or more years,Private for-profit
University of Phoenix-San Diego Campus,2006,13025,300,10471,Four or more years,Private for-profit
University of Phoenix-Southern Arizona Campus,2007,13004,300,10424,Four or more years,Private for-profit
University of Phoenix-Bay Area Campus,2007,12939,298,10405,Four or more years,Private for-profit
University of Phoenix-Online Campus,2008,12917,292,10405,Four or more years,Private for-profit
University of Phoenix-Philadelphia Campus,2007,12847,291,10385,Four or more years,Private for-profit
University of Phoenix-Dallas Campus,2007,12826,291,10305,Four or more years,Private for-profit
University of the Potomac-VA Campus,2013,12810,289,10277,Four or more years,Private for-profit
American Indian College of the Assemblies of God Inc,2011,12762,289,10276,At least 2 but less than 4 years,Private for-profit
International Baptist College and Seminary,2007,12694,287,10269,Four or more years,Private not-for-profit
Saint Louis Christian College,2007,12645,283,10262,Four or more years,Private not-for-profit
College America-Flagstaff,2013,12596,281,10258,Four or more years,Private not-for-profit
University of Phoenix-Wichita Campus,2013,12575,279,10228,Four or more years,Private for-profit
University of Phoenix-Cincinnati Campus,2009,12547,279,10151,Four or more years,Private for-profit
Vatterott College-Berkeley,2011,12525,277,10138,Four or more years,Private for-profit
Carrington College-Phoenix,2013,12524,276,10119,Four or more years,Private for-profit
Western International University,2009,12493,274,10070,Four or more years,Private for-profit
University of Phoenix-St Louis Campus,2010,12479,273,10043,Four or more years,Private for-profit
University of Phoenix-Richmond-Virginia Beach Campus,2010,12476,270,10043,Four or more years,Private for-profit
University of Phoenix-Maryland Campus,2008,12475,269,10031,Four or more years,Private for-profit
University of Phoenix-St Louis Campus,2008,12474,268,9992,Four or more years,Private for-profit
University of the Potomac-VA Campus,2012,12464,267,9976,At least 2 but less than 4 years,Private for-profit
University of Phoenix-Maryland Campus,2007,12457,266,9959,Four or more years,Private for-profit
University of Phoenix-Cleveland Campus,2007,12441,266,9954,Four or more years,Private for-profit
University of Phoenix-Detroit Campus,2007,12439,265,9914,Four or more years,Private for-profit
American Indian College of the Assemblies of God Inc,2013,12422,264,9779,Four or more years,Private not-for-profit
Everest College-Springfield,2013,12388,261,9698,Four or more years,Private for-profit
Vatterott College-Berkeley,2012,12377,259,9685,Four or more years,Private for-profit
College America-Flagstaff,2012,12368,259,9682,Four or more years,Private for-profit
University of Phoenix-Wichita Campus,2010,12347,255,9651,Four or more years,Private for-profit
National American University-Zona Rosa,2011,12345,252,9602,Four or more years,Private for-profit
University of Phoenix-Springfield  Campus,2013,12341,251,9596,Four or more years,Private for-profit
University of Phoenix-Madison Campus,2011,12330,250,9595,Four or more years,Private for-profit
National American University-Zona Rosa,2012,12293,250,9531,Less than 2 years (below associate),Public
University of Phoenix-Milwaukee Campus,2009,12284,249,9495,Four or more years,Private for-profit
University of Phoenix-Jersey City Campus,2009,12262,244,9457,Four or more years,Private for-profit
University of Phoenix-Bay Area Campus,2006,12260,244,9399,Four or more years,Private for-profit
University of Phoenix-Louisville Campus,2009,12158,242,9308,Four or more years,Private for-profit
University of Phoenix-Colorado Campus,2008,12143,242,9238,Four or more years,Private for-profit
University of Phoenix-St Louis Campus,2009,12122,242,9230,Four or more years,Private for-profit
University of Phoenix-Philadelphia Campus,2006,12121,241,9153,Four or more years,Private for-profit
University of Phoenix-Sacramento Valley Campus,2006,12114,238,9143,Four or more years,Private for-profit
University of Phoenix-Boston Campus,2007,12100,237,9140,Four or more years,Private for-profit
Kenrick Glennon Seminary,2012,12100,236,9124,Four or more years,Private not-for-profit
Missouri Tech,2013,12090,235,9042,Four or more years,Private for-profit
University of Phoenix-Omaha Campus,2011,12089,235,8977,Four or more years,Private for-profit
