name,year,expenses,degree,enrollment,level,control
A T Still University of Health Sciences,2006,13808,,1860,Four or more years,Private not-for-profit
A T Still University of Health Sciences,2007,15261,,2156,Four or more years,Private not-for-profit
A T Still University of Health Sciences,2008,7817,,2375,Four or more years,Private not-for-profit
A T Still University of Health Sciences,2009,7824,,2563,Four or more years,Private not-for-profit
A T Still University of Health Sciences,2010,6614,,2627,Four or more years,Private not-for-profit
A T Still University of Health Sciences,2011,12143,0,2404,Four or more years,Private not-for-profit
A T Still University of Health Sciences,2012,17849,0,2391,Four or more years,Private not-for-profit
A T Still University of Health Sciences,2013,14002,0,2611,Four or more years,Private not-for-profit
Academy di Firenze,2006,0,,,At least 2 but less than 4 years,Private for-profit
Academy di Firenze,2007,0,,,At least 2 but less than 4 years,Private for-profit
Academy di Firenze,2008,0,,,At least 2 but less than 4 years,Private for-profit
Academy di Firenze,2009,0,,,At least 2 but less than 4 years,Private for-profit
Academy di Firenze,2010,0,,,At least 2 but less than 4 years,Private for-profit
Academy di Firenze,2012,4607,,10,Four or more years,Private for-profit
Academy di Firenze,2013,3642,,20,At least 2 but less than 4 years,Private for-profit
Academy of Hair Design-Springfield,2006,0,,,Less than 2 years (below associate),Private for-profit
Academy of Hair Design-Springfield,2007,0,,,Less than 2 years (below associate),Private for-profit
Academy of Hair Design-Springfield,2008,2034,,102,Less than 2 years (below associate),Private for-profit
Academy of Hair Design-Springfield,2009,1398,,127,Less than 2 years (below associate),Private for-profit
Academy of Hair Design-Springfield,2010,3134,,94,Less than 2 years (below associate),Private for-profit
Academy of Hair Design-Springfield,2011,2984,,81,Less than 2 years (below associate),Private for-profit
Academy of Hair Design-Springfield,2012,1861,,88,Four or more years,Private for-profit
Academy of Hair Design-Springfield,2013,3078,,90,Less than 2 years (below associate),Private for-profit
Academy of Salon Professionals,2006,0,,,Less than 2 years (below associate),Private for-profit
Academy of Salon Professionals,2007,0,,,Less than 2 years (below associate),Private for-profit
Academy of Salon Professionals,2008,0,,,Less than 2 years (below associate),Private for-profit
Academy of Salon Professionals,2009,0,,,Less than 2 years (below associate),Private for-profit
Academy of Salon Professionals,2010,0,,,Less than 2 years (below associate),Private for-profit
Academy of Salon Professionals,2013,3403,,26,Less than 2 years (below associate),Private for-profit
Advanced Technology Institute,2006,4014,,702,At least 2 but less than 4 years,Private for-profit
Advanced Technology Institute,2007,4292,,656,At least 2 but less than 4 years,Private for-profit
Advanced Technology Institute,2008,4576,,586,At least 2 but less than 4 years,Private for-profit
Advanced Technology Institute,2009,4441,,827,At least 2 but less than 4 years,Private for-profit
Advanced Technology Institute,2010,3020,,1040,At least 2 but less than 4 years,Private for-profit
Advanced Technology Institute,2011,3971,,841,At least 2 but less than 4 years,Private for-profit
Advanced Technology Institute,2012,13102,,787,At least 2 but less than 4 years,Private for-profit
